id,timestamp,planetName,planetType,atmosphere,finalAge,cause,geneticCode,survivalTraits,damageTaken,mutationCount
1,2026-01-13T18:54:40.2968525,Astramir-926,Lava,Carbon monoxide,2,PlanetCrisis,G1-A2-M0-D128-WATERC-SANDBU-TOXICR,Water Conservation;Sand Burrower;Toxic Resistance,128,0
2,2026-01-13T18:54:40.3378772,Astramir-926,Lava,Carbon monoxide,2,PlanetCrisis,G2-A2-M1-D120-SWIMMI-GILLS-QUICKL,Swimming;Gills;quick-learner,120,1
3,2026-01-13T19:34:29.4021681,Terratune-530,Desert,Nitrogen,4,Competition_Duel,G2-A4-M4-D108-ANTIFR-BLUBBE-STRONG,Antifreeze Blood;Blubber;strong-sense;fragile,108,4
4,2026-01-13T19:36:41.0159728,Veganix-867,Ocean,Oxygen-rich,5,Competition_Duel,G2-A5-M5-D110-CLIMBI-LEAFCA-METHAN,Climbing;Leaf Camouflage;Methane Breather;High Endurance,110,5
5,2026-01-22T10:18:52.2256272,Astralith-836,Ocean,Carbon monoxide,9,Competition_Duel,G2-A9-M6-D117-MIREGR-BUOYAN-CAMOUF,Mire Grip;Buoyant;Camouflage Algae;Amphibious Respiration;adaptive;Toxic Resistance;agile;Heat Resistance;Swimming;strong-sense,117,6
